Names,Exp.Outstate,Student,Books,Faculty,Top.Room.Band,S.F.Ratio,Personal.Grad
Abilene Christian University,-1.592855403548161,0.7673335099647798,-0.10107353731057812,-0.9217493979899037,-0.7439753978496058,-0.29830608096398725,0.6384434679959077
Adelphi University,-2.19240179776043,-0.5788299835835324,2.2787981151083105,3.588918231348055,1.059996604782727,-0.17713730901279853,0.23675330200933103
Adrian College,-1.4309637128321344,-1.092818891560954,-0.43809281134328587,0.6772405275009726,-0.3696132742650889,-0.9605916885982783,-0.24827609109391946
Agnes Scott College,2.855557426704887,-2.6306123851214966,0.14172212149398272,-1.2954859990229368,-0.18383713965471718,-1.059508473025629,-1.249356446668652
Alaska Pacific University,-2.212007633553983,0.021630813901349046,2.387029795834931,-1.1145384475759506,0.6844506997261455,0.0049179706358818765,-2.1592195346988663
Albertson College,-0.5716652899434143,-1.4963246547267108,0.024354077594518807,0.06694356843492913,-0.376261444320218,-0.6683435012883167,-1.6098354190918047
Albertus Magnus College,0.24195219359059233,-1.5063675415214688,0.23419429731415442,-1.142024243805652,1.5469832080250148,-0.009994687528974333,0.5909325029007139
Albion College,1.7504743468692279,-1.4614123467515103,-1.026589050038678,-0.9811842106927127,0.21704361246275622,0.22292398070523678,0.03816858526566032
Albright College,0.76912696741423,-1.9844333497292885,-1.4260521785507785,-0.07142428556551893,0.5863801806852561,-0.6551793668801816,-0.21331420439039153
Alderson-Broaddus College,-2.770721092027309,-0.8446106093048384,1.6279866655297057,1.7050912226859116,-1.0198256009161792,-0.7944006856650776,-0.3178911011254253
Alfred University,1.784583381203712,-1.8898629772750215,-0.552673569792118,-0.039531285936792046,0.4801549980894317,0.19976055501568735,-0.2972372684661398
Allegheny College,2.045930237267962,-2.0991960953586184,-1.079126428405396,0.17462103718148858,-0.29820070674052995,-0.5833813019615294,-0.2903281401887127
Allentown Coll. of St. Francis de Sales,-0.09278896503590749,-1.078817682496547,0.13334191903677303,0.13108793807610103,-0.2646065381742256,0.581384481259701,-0.134718548934832
Alma College,0.8691194478687102,-1.5492002168638523,-1.5152139661142627,-0.5275785885471581,-0.2922585039331859,0.29900291345519375,-0.5567047486364278
Alverno College,-2.1073726050481243,-0.48786850556633077,1.9189826881021836,0.5053989545975297,-0.9360274549111459,-0.9805957618180912,0.5829832585544512
American International College,-1.3980873784187362,-0.4963935617257891,-0.4308557699552391,-0.46307857130379937,1.3456543064561295,0.12521038319840622,0.7488688341877773
Amherst College,5.5221925878883225,-3.1487249389774283,0.7348958348740576,-0.29106784757942633,-1.6398004775726547,-0.37578608514427936,0.8578630597400119
Anderson University,-2.1299223178517526,-0.6251721819801115,0.31876228835788695,1.1604957085765122,-0.20284335885336072,-0.42552633051945893,-0.5824358212494937
Andrews University,-2.0953764840007087,-0.40145329709414057,2.0445100546329726,0.48266464010623944,-0.022957437889800012,0.4623951264051949,-1.1392640800345304
Angelo State University,-2.7549578933119028,2.2353040091663274,0.0029441616746535846,-0.4442790513647844,-0.7413288653935203,0.1653158032059039,-0.1682277057466635
Antioch University,1.4469057198726705,-2.427805559429684,0.9740823392498396,0.08724866175991491,0.5583448454987231,-3.0097769004800132,-1.9573305059200885
Appalachian State University,0.04655132458206941,2.9467988283490447,-2.609310427290171,-1.0818854461434955,-0.7057697584543985,-1.3770283986706005,0.8314835755311731
Aquinas College,-1.5509661518953712,-1.0156621343949723,-0.3234702197536842,0.4622578966719766,-0.14978844922987952,-1.1341101030110832,0.6871540121555556
Arizona State University Main campus,1.8431918767790099,7.922701277671383,0.49295858662609815,0.139201192943491,1.7066215226647024,0.09568894421575308,0.13399591253537807
Arkansas College (Lyon College),0.47323150984172946,-1.3659468467685112,-0.167007698150748,-1.1255395487853606,-0.7004952587123421,-0.3481445794469742,-1.4912644942397866
Arkansas Tech University,-3.1991110591434215,1.39051790149314,-0.9575592328203943,0.1201455063897655,-0.8119201883700531,0.11880801966302629,-0.9247636263161451
Assumption College,1.2540350364300834,-1.2292515659645418,-1.210324202368297,-0.40101274658684344,1.2851728115018568,1.1343046384593902,0.5901716313095139
Auburn University-Main Campus,1.2574452390021102,4.270767785335006,-0.4973028208411369,0.14262668145551938,-0.376707532570346,0.3106101958151987,0.40996806637964184
Augsburg College,-1.5542788533885865,-1.1142104733699276,-0.018388137417314817,0.6103055084439529,0.7435394159020338,-0.16829765893376836,-0.01040740361190353
Augustana College IL,0.9507701702769359,-1.4374676628984153,-0.6528890406024292,-0.11373816949152081,-0.5922343330418683,0.2231172748206229,-0.13728433335586024
Augustana College,-0.8673455412425661,-1.2618152387190975,0.03793553617624643,0.3289201375043605,-0.7754494187353482,-0.09240206913556016,-0.26747953446037803
Austin College,1.0896710665221603,-1.5321435497332179,-0.8258077618912857,-1.1074562508279038,-0.528748066213983,-0.3455809381855618,-0.02369558786818295
Averett College,-2.562802584095558,0.12808707008579445,0.7212386795366665,-0.07674598028362599,0.07193814954071433,1.6704543430412484,-0.15309240046426373
Baker University,-1.731199741847542,-0.7186666770641194,0.41902350260769733,0.07366641252302021,-0.38097054310408823,-1.323821998072737,1.0077362934813852
Baldwin-Wallace College,-0.01789391362878032,-0.15734901997203624,1.2694480830737969,0.5638120525767695,-0.5149954675475199,2.5568663564224052,0.15194942177919593
Barat College,-1.1058108075038857,-1.9666035910817286,-0.4448381163708363,0.7378581279797399,0.5200272229132888,-0.2541030427758693,-0.28915983183730254
Bard College,3.407922403120179,-2.435812828755327,0.7425251231277131,-0.6225310307505207,0.594332997693339,1.1934841029931307,-0.35164041764774145
Barnard College,3.833224304232781,-2.5194582232241967,0.2838467839032082,0.4891980134645967,0.9573139006792575,0.901342005017859,0.6139212105051045
Barry University,-0.4868634030104211,-0.11210553892644147,1.1759375617372243,-0.402726557425743,1.4779453319904894,-0.14089149616533214,0.8243801570673498
Baylor University,0.8149622277496107,2.1306107720645997,-0.9837023373263063,0.8734966839217696,-1.4880856884717415,0.7141222116704367,0.36020615751318824
