Player Name,Total_Runs_Scored,Avg_Runs_Scored,Max_Runs_Scored,Total_Minutes_Batted,Total_Balls_Faced,Total_50s,Total_Boundary_4s,Total_Boundary_6s,Num_matches_Batted,Avg_Overs_Bowled,Avg_Runs_Conceded,Avg_Maiden_Overs
RG Sharma,9115,42.00460829,264,14250,10250,43,817,244,217,2.592105263,13.55263158,0.052631579
V Sehwag,7975,34.22746781,219,11250,7629,37,1092,130,233,5.014285714,26.17857143,0.092857143
SR Tendulkar,8527,43.50510204,200,15195,9868,46,1019,71,196,4.830232558,26.60465116,0.069767442
MS Dhoni,10599,36.05102041,183,17361,12164,73,809,222,294,3,15.5,0
V Kohli,11867,49.65271967,183,17747,12726,58,1116,121,239,2.202083333,13.85416667,0.020833333
D Mongia,1230,24.11764706,159,2470,1721,4,122,8,51,5.066666667,27.19047619,0.047619048
G Gambhir,5238,36.62937063,150,9334,6144,34,561,17,143,1,13,0
Yuvraj Singh,8349,31.74524715,150,12933,9561,51,867,150,263,5.331125828,27.28476821,0.105960265
S Dhawan,5688,42.76691729,143,8747,6050,29,710,69,133,0,0,0
VVS Laxman,2252,31.71830986,131,4546,3023,10,217,4,71,1,8,0
SC Ganguly,4937,34.28472222,127,9693,6737,36,480,101,144,4.486585366,22.81707317,0.109756098
AT Rayudu,1694,33.88,124,2901,2143,10,145,30,50,2.233333333,13.77777778,0.111111111
YK Pathan,810,19.75609756,123,1045,713,3,62,43,41,4.956,27.3,0.06
KM Jadhav,1389,26.71153846,120,1854,1367,6,141,24,52,4.702380952,24.28571429,0.023809524
SK Raina,5615,28.94329897,116,8703,6005,36,476,120,194,3.502970297,17.93069307,0.04950495
KL Rahul,1239,39.96774194,112,2011,1423,7,98,25,31,0,0,0
M Kaif,2753,25.02727273,111,5060,3822,17,228,9,110,0,0,0
AM Rahane,2962,34.04597701,111,5200,3767,24,293,33,87,0,0,0
R Dravid,6318,34.33695652,109,12180,8555,53,562,26,184,0,0,0
MK Tiwary,287,23.91666667,104,509,403,1,24,3,12,3.666666667,25,0.166666667
MK Pandey,492,23.42857143,104,789,535,2,41,4,21,0,0,0
SS Iyer,748,46.75,103,1165,742,8,73,17,16,1,7.5,0
HK Badani,628,21.65517241,100,1276,876,2,55,8,29,3.9,18.28571429,0
AB Agarkar,828,11.18918919,95,1462,1065,2,69,13,74,8.085714286,40.85714286,0.588235294
PA Patel,736,21.64705882,95,1408,962,4,79,7,34,0,0,0
SS Dighe,149,21.28571429,94,263,221,1,8,2,7,0,0,0
RA Jadeja,2296,20.87272727,87,3776,2671,12,172,43,110,8.654037267,42.47826087,0.310559006
RV Uthappa,934,22.23809524,86,1609,1031,6,107,19,42,0.2,0,0
IK Pathan,1544,17.74712644,83,2750,1941,5,142,37,87,8.246610169,43.57627119,0.449152542
HH Pandya,957,25.18421053,83,1221,828,4,69,40,38,7.433962264,41.41509434,0.094339623
KD Karthik,1752,22.17721519,79,3130,2392,9,176,15,79,0,0,0
STR Binny,230,20.90909091,77,375,246,1,23,5,11,6.783333333,36.58333333,0.333333333
M Vijay,339,21.1875,72,690,506,1,33,3,16,3,18.5,0
RR Pant,374,26.71428571,71,490,361,1,40,10,14,0,0,0
Jai P Yadav,81,11.57142857,69,168,123,1,11,1,7,6.6,32.6,0.4
RS Sodhi,210,21,67,333,276,1,12,5,10,5.3,24.9,0.1
R Ashwin,675,11.06557377,65,1193,776,1,59,6,61,9.197247706,45.29357798,0.321100917
Y Venugopal Rao,218,19.81818182,61,430,363,1,16,3,11,0,0,0
SB Bangar,180,12,57,314,239,1,14,3,15,5.242857143,27.42857143,0.142857143
S Sriram,60,30,57,122,96,1,7,0,2,9.5,40,0.5
FY Fazal,55,55,55,99,61,1,7,1,1,0,0,0
P Kumar,292,8.848484848,54,488,331,1,25,7,33,8.056716418,41.40298507,0.671641791
RS Gavaskar,151,15.1,54,293,234,1,8,2,10,6,37,0
RR Powar,163,8.578947368,54,395,260,1,12,2,19,8.813793103,41.06896552,0.206896552
B Kumar,526,10.11538462,53,974,703,1,44,8,52,8.020353982,40.42477876,0.601769912
V Dahiya,75,15,51,105,80,1,8,1,5,0,0,0
Harbhajan Singh,1204,9.950413223,49,1984,1483,0,89,34,121,9.166509434,39.53773585,0.377358491
V Shankar,223,27.875,46,270,246,0,20,4,8,4.277777778,23.33333333,0
NA Saini,53,26.5,45,66,55,0,7,2,2,9.6,60.2,0
PP Shaw,84,28,40,113,82,0,12,2,3,0,0,0
KK Nair,46,23,39,131,88,0,6,0,2,0,0,0
AR Patel,181,9.05,38,325,190,0,8,8,20,9.062857143,40.25714286,0.371428571
SS Tiwary,49,24.5,37,99,56,0,5,1,2,0,0,0
JJ Martin,36,36,36,107,70,0,5,0,1,0,0,0
Z Khan,696,7.733333333,34,1337,991,0,62,20,90,8.52247191,42.56179775,0.606741573
M Kartik,126,9,32,268,178,0,10,1,14,8.819444444,44.77777778,0.527777778
MA Agarwal,36,12,32,61,39,0,6,0,3,0,0,0
A Ratra,90,11.25,30,148,127,0,8,0,8,0,0,0
SS Das,39,9.75,30,92,77,0,2,1,4,0,0,0
Joginder Sharma,35,11.66666667,29,42,30,0,5,0,3,6.25,28.75,0.75
S Badrinath,79,13.16666667,27,229,172,0,4,0,6,0,0,0
R Vinay Kumar,86,6.615384615,27,201,146,0,5,2,13,7.703225806,45.90322581,0.612903226
CA Pujara,51,10.2,27,219,130,0,4,0,5,0,0,0
DS Kulkarni,27,13.5,25,32,28,0,2,1,2,8.283333333,42.33333333,0.416666667
Mohammed Shami,147,4.083333333,25,389,180,0,11,6,36,8.592105263,48.17105263,0.513157895
D Dasgupta,51,12.75,24,116,82,0,6,0,4,0,0,0
A Nehra,140,3.111111111,24,375,244,0,12,3,45,8.007692308,41.87179487,0.452991453
A Mithun,51,17,24,71,55,0,2,4,3,6,40.6,0.2
RP Singh,104,5.2,23,321,242,0,5,1,20,7.489473684,41.10526316,0.543859649
SN Thakur,77,12.83333333,22,123,53,0,8,3,6,7.872727273,55.36363636,0.090909091
A Kumble,187,5.84375,21,525,384,0,11,0,32,9.052542373,41.91525424,0.355932203
L Balaji,120,7.5,21,212,152,0,8,3,16,8.01,44.8,0.366666667
SB Joshi,19,19,19,33,23,0,2,0,1,9.1,54,0
Sarandeep Singh,47,11.75,19,70,73,0,6,0,4,8.6,36,0.2
Kuldeep Yadav,118,5.619047619,19,363,188,0,10,0,21,9.165517241,46.9137931,0.206896552
DS Mohanty,18,18,18,26,20,0,1,0,1,7.5,31.75,0.5
UT Yadav,79,3.291666667,18,262,134,0,8,1,24,8.084931507,48.83561644,0.315068493
YS Chahal,49,5.444444444,18,157,84,0,7,0,9,9.064705882,46.09803922,0.254901961
PP Ojha,46,4.6,16,166,112,0,3,0,10,8.564705882,38.35294118,0.294117647
RR Singh,16,16,16,42,32,0,0,0,1,6,37,0
AB Dinda,21,4.2,16,51,36,0,1,0,5,7.523076923,47.07692308,0.153846154
WP Saha,41,8.2,16,86,56,0,5,0,5,0,0,0
J Srinath,65,2.954545455,15,193,133,0,6,0,22,8.533333333,38.66666667,0.5
MM Patel,74,2.740740741,15,180,112,0,7,1,27,7.817910448,38.85074627,0.567164179
A Mishra,43,3.909090909,14,127,82,0,4,0,11,9.367647059,44.44117647,0.558823529
PP Chawla,38,3.166666667,13,96,58,0,3,0,12,8.736,44.68,0.24
I Sharma,72,2.571428571,13,315,203,0,6,0,28,7.96025641,45.67948718,0.371794872
AR Khurasiya,12,6,12,33,25,0,2,0,2,0,0,0
DL Chahar,18,9,12,42,22,0,1,0,2,7,43,0.666666667
SV Bahutule,11,11,11,26,13,0,1,0,1,3,24,0
MM Sharma,31,3.444444444,11,137,66,0,5,0,9,7.444,40.8,0.48
BKV Prasad,10,10,10,32,25,0,0,0,1,7.6,48,1
S Sreesanth,44,2.095238095,10,246,121,0,2,0,21,7.892307692,48.23076923,0.307692308
JJ Bumrah,19,1.266666667,10,199,44,0,2,1,15,8.690625,39.703125,0.59375
AV Kale,10,10,10,20,22,0,1,0,1,0,0,0
W Jaffer,10,5,10,22,23,0,2,0,2,0,0,0
R Dhawan,12,6,9,13,13,0,1,0,2,8.333333333,53.33333333,0
Shubman Gill,16,8,9,45,32,0,2,0,2,0,0,0
S Dube,9,9,9,21,6,0,1,0,1,7.5,68,0
VRV Singh,8,8,8,18,13,0,1,0,1,6,52.5,0
Gurkeerat Singh,13,4.333333333,8,17,13,0,2,0,3,3.333333333,22.66666667,0
VR Aaron,8,2.666666667,6,34,15,0,1,0,3,6.977777778,46.55555556,0.111111111
T Yohannan,7,3.5,5,14,11,0,0,0,2,6.666666667,40.66666667,0.333333333
KK Ahmed,9,3,5,50,17,0,1,0,3,7.272727273,42.27272727,0.181818182
AM Salvi,4,1.333333333,4,16,14,0,0,0,3,7.1,30,0.75
Pankaj Singh,3,3,3,9,3,0,0,0,1,7,45,0
